Data,Compra,Venda,% Variação,Variação
22/09/2015,4.0513,4.0538,1.8310%,0.072900
21/09/2015,3.9795,3.9809,0.5730%,0.022700
18/09/2015,3.9575,3.9582,1.9580%,0.076000
17/09/2015,3.8815,3.8822,1.2550%,0.048100
16/09/2015,3.8330,3.8341,-0.7380%,-0.028500
15/09/2015,3.8601,3.8626,1.2800%,0.048800
14/09/2015,3.8117,3.8138,-1.6330%,-0.063300
11/09/2015,3.8752,3.8771,0.6930%,0.026700
10/09/2015,3.8497,3.8504,1.3420%,0.051000
09/09/2015,3.7987,3.7994,-0.5130%,-0.019600
08/09/2015,3.8170,3.8190,-1.0750%,-0.041500
04/09/2015,3.8580,3.8605,2.6780%,0.100700
03/09/2015,3.7583,3.7598,0.0000%,0.000000
02/09/2015,3.7591,3.7598,1.9470%,0.071800
01/09/2015,3.6875,3.6880,1.6790%,0.060900
31/08/2015,3.6260,3.6271,1.1660%,0.041800
28/08/2015,3.5833,3.5853,0.9150%,0.032500
27/08/2015,3.5521,3.5528,-1.3490%,-0.048600
26/08/2015,3.5992,3.6014,-0.1940%,-0.007000
25/08/2015,3.6072,3.6084,1.5740%,0.055900
24/08/2015,3.5505,3.5525,1.6160%,0.056500
21/08/2015,3.4955,3.4960,1.0520%,0.036400
20/08/2015,3.4584,3.4596,-0.8060%,-0.028100
19/08/2015,3.4858,3.4877,0.6260%,0.021700
18/08/2015,3.4641,3.4660,-0.4680%,-0.016300
17/08/2015,3.4813,3.4823,-0.0230%,-0.000800
14/08/2015,3.4824,3.4831,-0.8710%,-0.030600
13/08/2015,3.5130,3.5137,1.1310%,0.039300
12/08/2015,3.4739,3.4744,-0.6690%,-0.023400
11/08/2015,3.4963,3.4978,1.5950%,0.054900
10/08/2015,3.4424,3.4429,-1.8590%,-0.065200
07/08/2015,3.5076,3.5081,-0.8280%,-0.029300
06/08/2015,3.5354,3.5374,1.3870%,0.048400
05/08/2015,3.4885,3.4890,0.7160%,0.024800
04/08/2015,3.4622,3.4642,0.2810%,0.009700
03/08/2015,3.4525,3.4545,0.8700%,0.029800
31/07/2015,3.4242,3.4247,1.5930%,0.053700
30/07/2015,3.3700,3.3710,1.2530%,0.041700
29/07/2015,3.3281,3.3293,-1.1780%,-0.039700
28/07/2015,3.3685,3.3690,0.1490%,0.005000
27/07/2015,3.3620,3.3640,0.5080%,0.017000
24/07/2015,3.3453,3.3470,1.5530%,0.051200
23/07/2015,3.2951,3.2958,2.1730%,0.070100
22/07/2015,3.2250,3.2257,1.6540%,0.052500
21/07/2015,3.1725,3.1732,-0.8560%,-0.027400
20/07/2015,3.1999,3.2006,0.2100%,0.006700
17/07/2015,3.1923,3.1939,1.1300%,0.035700
16/07/2015,3.1575,3.1582,0.7080%,0.022200
15/07/2015,3.1340,3.1360,-0.0800%,-0.002500
14/07/2015,3.1370,3.1385,0.2460%,0.007700
13/07/2015,3.1303,3.1308,-0.9620%,-0.030400
10/07/2015,3.1597,3.1612,-2.2450%,-0.072600
08/07/2015,3.2333,3.2338,1.6120%,0.051300
07/07/2015,3.1809,3.1825,1.2860%,0.040400
06/07/2015,3.1404,3.1421,0.0890%,0.002800
03/07/2015,3.1386,3.1393,1.3990%,0.043300
02/07/2015,3.0950,3.0960,-1.5580%,-0.049000
01/07/2015,3.1443,3.1450,1.1610%,0.036100
30/06/2015,3.1082,3.1089,-0.3400%,-0.010600
29/06/2015,3.1175,3.1195,-0.2780%,-0.008700
26/06/2015,3.1260,3.1282,0.0030%,0.000100
25/06/2015,3.1269,3.1281,0.8610%,0.026700
24/06/2015,3.1009,3.1014,0.7640%,0.023500
